"","V1","V2","V3"
"1","1804 LTD","ABB LTD","7"
"2","3 BEAR DELAWARE OPERATING  NM LLC","TALLGRASS OPERATIONS LLC","25"
"3","3 Bear Delaware Operating  NM LLC","Rover Operating, LLC","21"
"4","31 GROUP LLC","FPL GROUP INC","9"
"5","31 Group LLC","TPC Group LLC","5"
"6","31 OFFSHORE LLC","SCI LLC","12"
"7","31 Offshore LLC","SBM Offshore","9"
"8","3CM HOLDINGS LLC","ITC HOLDINGS CORP","9"
"9","3M","3M","0"
"10","3M CO","3M CO","0"
"11","3M COMPANY","3M COMPANY","0"
"12","3M Center","3M Center","0"
"13","3M Company","3M Company","0"
"14","600 LAND INC","ASHLAND INC","7"
"15","600 LAND, INC","ASHLAND INC","8"
"16","600 Land, Inc","Linde Inc","8"
"17","600 Land, Inc.","Linde Inc","9"
"18","89 ENERGY LLC","DTE ENERGY CO","8"
"19","89 Energy LLC","UP Energy LLC","4"
"20","A TIMOSHENKO","HEI","11"
"21","A Timoshenko","Trinseo","9"
"22","ABB","ABB","0"
"23","ABB LTD","ABB LTD","0"
"24","ABBOTT LABORATORIES","ABBOTT LABORATORIES","0"
"25","ABBVIE INC","ABBVIE INC","0"
"26","ABEL GREGORY E","GE","12"
"27","ABENGOA BIOENERGY","DEVON ENERGY","11"
"28","ABENGOA BIOENERGY US HOLDING","MGE ENERGY INC","20"
"29","ABF ENTERPRISES","PBF ENERGY INC","13"
"30","ABF Enterprises LLC","SSAB Enterprises LLC","3"
"31","ABIBOW US INC - Catawba Operations","USG Corporation","27"
"32","ABILENE ENVIRONMENTAL LANDFILL","GFL ENVIRONMENTAL INC","17"
"33","ABILENE ENVIRONMENTAL LANDFILL INC","GFL ENVIRONMENTAL INC","17"
"34","ABRAXAS PETROLEUM CORP","ABRAXAS PETROLEUM CORP","0"
"35","ABSOLUTE ENERGY LLC","SABINAL ENERGY LLC","9"
"36","ABSOLUTE ENERGY, LLC","SABINAL ENERGY LLC","10"
"37","AC OCEAN WALK LLC","SCI LLC","14"
"38","AC Ocean Walk LLC","SCI LLC","14"
"39","ACADIA PARISH POLICE JURY","DS SMITH PLC","21"
"40","ACCURIDE CORP","UGI CORP","7"
"41","ACE Cogeneration Company","Monsanto Company","14"
"42","ACE ETHANOL LLC","PACIFIC ETHANOL","10"
"43","ACE ETHANOL, LLC","PACIFIC ETHANOL","11"
"44","ACE Ethanol, LLC","Tall Corn Ethanol, LLC","10"
"45","ACI Energy Inc.","SRC Energy Inc","5"
"46","ACME BRICK COMPANY","3M COMPANY","10"
"47","ACMS INC","ARCOSA INC","4"
"48","ADA CARBON SOLUTIONS LLC","DELTA AIR LINES INC","19"
"49","ADA COGEN HOLDINGS LP","PLAINS GP HOLDINGS LP","12"
"50","ADA COGENERATION LP","APA CORP","13"
"51","ADA COUNTY","SALT LAKE COUNTY","8"
"52","ADA Carbon Solutions, LLC","SG Solutions LLC","13"
"53","ADKINS ENERGY LLC","SABINAL ENERGY LLC","7"
"54","ADS WASTE HOLDINGS INC","POST HOLDINGS INC","9"
"55","ADS Waste Holdings, Inc","Nestle Holdings Inc","10"
"56","ADS Waste Holdings, Inc.","Post Holdings, Inc.","9"
"57","ADVANCE ENERGY PARTNERS LLC","MARKWEST ENERGY PARTNERS LP","14"
"58","ADVANCED BIOENERGY LLC","DTE ENERGY CO","13"
"59","ADVANCED DISPOSAL SERVICES","ADVANSIX INC","20"
"60","ADVANCED DISPOSAL SERVICES INC","ANALOG DEVICES INC","18"
"61","ADVANCED GRAPHITE MATERIALS LLC","EAGLE MATERIALS INC","20"
"62","ADVANSIX INC","ADVANSIX INC","0"
"63","AEIF BIRDSBORO LLC","GREIF INC","15"
"64","AEIF Birdsboro LLC","Sojitz Birdsboro LLC","10"
"65","AEIF HILL TOP LLC","TOMPC LLC","12"
"66","AEIF Hill Top, LLC","SCI LLC","15"
"67","AEIF LINDEN SPV LLC","GREIF INC","14"
"68","AEIF Linden SPV LLC","Linde LLC","10"
"69","AEIF ST JOSEPH HOLDING V LLC","PLAINS GP HOLDINGS LP","19"
"70","AEMETIS INC","AEMETIS INC","0"
"71","AEP GENERATION RESOURCES INC","EOG RESOURCES INC","13"
"72","AER NY-Gen, LLC","SEPG MGA, LLC","12"
"73","AERA ENERGY LLC","SABINAL ENERGY LLC","7"
"74","AES CORP","AES CORP","0"
"75","AES Corporation","AES Corporation","0"
"76","AES Eastern Energy LP","NuStar Energy LP","11"
"77","AES Eastern Energy, LP","NuStar Energy LP","12"
"78","AES Eastern Energy,LP","NuStar Energy LP","13"
"79","AES Ohio Generation, LLC","Star West Generation, LLC","13"
"80","AETHON ENERGY","DEVON ENERGY","5"
"81","AETHON ENERGY OPERATING LLC","DEVON ENERGY CORPORATION","15"
"82","AETHON UNITED BR LP","UNIT CORP","14"
"83","AG ENERGY LP","MGE ENERGY","6"
"84","AG ENERGY PARTNERS LP","MARKWEST ENERGY PARTNERS LP","8"
"85","AG Energy, LP","MGE Energy","7"
"86","AG PROCESSING INC","GREIF INC","10"
"87","AG PROCESSING INC A COOPERATIVE","ARCONIC CORP","23"
"88","AGAVE ENERGY HOLDINGS","MGE ENERGY INC","11"
"89","AGC","GE","3"
"90","AGC AMERICA INC","BP AMERICA INC","5"
"91","AGC America Inc.","BP America Inc.","5"
"92","AGC FLAT GLASS NORTH AMERICA","SAINT GOBAIN NORTH AMERICA","16"
"93","AGC FLAT GLASS NORTH AMERICA INC","CRH AMERICAS INC","18"
"94","AGC FLAT GLASS NORTH AMERICA, INC.","CRH AMERICAS INC","20"
"95","AGC Flat Glass North America, Inc.","Nissan North America, Inc.","16"
"96","AGC GLASS CO NORTH AMERICA","SAINT GOBAIN NORTH AMERICA","16"
"97","AGC Glass Company North America","Masonite North America","17"
"98","AGL RESOURCES INC","AGL RESOURCES INC","0"
"99","AGRA MARKE QUALITY GRAINS INC","GREEN PLAINS INC","19"
"100","AGRI-MARK INC","GREIF INC","8"
"101","AGRIUM US INC","GREIF INC","8"
"102","AGROPUR INC","GEVO INC","7"
"103","AGY HOLDING CO","ITC HOLDINGS CORP","9"
"104","AGY HOLDING CORP","ITC HOLDINGS CORP","7"
"105","AHLSTROM FILTRATION LLC","ANTERO MIDSTREAM LLC","17"
"106","AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC","BP PRODUCTS NORTH AMERICA INC","39"
"107","AHLSTROM-MUNKSJO USA INC","ARCOSA INC","16"
"108","AIM Developement USA LLC","Elementis PLC","19"
"109","AIM Development USA LLC","Team Ten LLC","19"
"110","AIM Midstream Holdings, LLC","TA Ada Holdings LLC","12"
"111","AIP LLC","SCI LLC","4"
"112","AIR PRODUCTS & CHEMICALS INC","AIR PRODUCTS & CHEMICALS INC","0"
"113","AIRCRAFT SERVICES CORP - GENERAL","AES CORP","24"
"114","AIRGAS INC","ARCOSA INC","6"
"115","AJINOMOTO ANIMAL NUTRITION NORTH AMERICA INC","SAINT GOBAIN NORTH AMERICA","26"
"116","AJINOMOTO HEALTH & NUTRITION NORTH AMERICA INC","SAINT GOBAIN NORTH AMERICA","28"
"117","AJINOMOTO HEARTLAND INC","ASHLAND INC","14"
"118","AK STEEL CORP","ATMEL CORP","5"
"119","AK STEEL HOLDING CORP","ITC HOLDINGS CORP","10"
"120","AK Steel Corporation","U.S. Steel Corporation","6"
"121","AKA ENERGY GROUP LLC","SABINAL ENERGY LLC","12"
